MCM_ID,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,PAN,peracid,peroxide,Number of functional groups,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G
 CHOBR,108.92, UNKNOWN,N/A,1,1,0,1,0,0,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2.57,0.95
C716OOH,174.15,APINENE,2,7,10,0,5,0,0,0,22,0.71,0,0,0,1,2,0,0,0,0,0,0,0,1,4,8.59,7.78
C920CO3H,216.23,APINENE,1,10,16,0,5,0,0,0,31,0.5,-0.6,0,1,0,1,0,0,0,0,0,0,1,0,3,9.41,7.42
C96NO3,201.22,APINENE,1,9,15,1,4,0,0,0,29,0.44,-1.33,0,0,0,1,0,0,0,0,1,0,0,0,2,7.34,4.27
NC6PAN1,294.13,APINENE,3,7,6,2,11,0,0,0,26,1.57,0.86,0,0,1,2,0,0,0,0,1,1,0,0,5,7.62,1.69
NAPINBOOH,231.25,APINENE,1,10,17,1,5,0,0,0,33,0.5,-1.2,0,0,0,0,0,0,0,0,1,0,0,1,2,8.56,5.21
C717OOH,174.15,APINENE,1,7,10,0,5,0,0,0,22,0.71,0,0,0,1,2,0,0,0,0,0,0,0,1,4,8.54,8.21
C614OOH,162.14,APINENE,1,6,10,0,5,0,0,0,21,0.83,0,0,1,0,2,0,0,0,0,0,0,0,1,4,7.3,7
C9PAN2,231.2,APINENE,2,9,13,1,6,0,0,0,29,0.67,-0.67,0,0,0,1,0,0,0,0,0,1,0,0,2,7.32,3.32
C106OH,200.23,APINENE,2,10,16,0,4,0,0,0,30,0.4,-0.8,0,1,1,2,0,0,0,0,0,0,0,0,4,9.01,8.35
APINBOOH,186.25,APINENE,1,10,18,0,3,0,0,0,31,0.3,-1.2,0,1,0,0,0,0,0,0,0,0,0,1,2,8.46,7.5
APINCOOH,186.25,APINENE,1,10,18,0,3,0,0,0,31,0.3,-1.2,0,1,0,0,0,0,0,0,0,0,0,1,2,8.91,7.94
H1C23C4PAN,207.1,APINENE,2,5,5,1,8,0,0,0,19,1.6,1.2,0,1,0,2,0,0,0,0,0,1,0,0,4,7.18,3.72
APINANO3,215.25,APINENE,1,10,17,1,4,0,0,0,32,0.4,-1.4,0,1,0,0,0,0,0,0,1,0,0,0,2,6.87,3.47
H1C23C4CHO,130.1,APINENE,1,5,6,0,4,0,0,0,15,0.8,0.4,0,1,1,2,0,0,0,0,0,0,0,0,4,6.43,5.9
C621OOH,178.14,APINENE,1,6,10,0,6,0,0,0,22,1,0.33,0,2,0,2,0,0,0,0,0,0,0,1,5,9.21,9.92
C96OOH,172.22,APINENE,1,9,16,0,3,0,0,0,28,0.33,-1.11,0,0,0,1,0,0,0,0,0,0,0,1,2,8.61,8.06
C97OOH,188.22,APINENE,1,9,16,0,4,0,0,0,29,0.44,-0.89,0,1,0,1,0,0,0,0,0,0,0,1,3,9.69,9.65
C108OOH,216.23,APINENE,1,10,16,0,5,0,0,0,31,0.5,-0.6,0,0,1,2,0,0,0,0,0,0,0,1,4,8.46,6.73
NC71CO,201.13,APINENE,2,7,7,1,6,0,0,0,21,0.86,0,0,0,0,3,0,0,0,0,1,0,0,0,4,8.94,6.45
C614NO3,191.14,APINENE,1,6,9,1,6,0,0,0,22,1,-0.33,0,1,0,2,0,0,0,0,1,0,0,0,4,7.93,5.82
C85CO3H,186.21,APINENE,2,9,14,0,4,0,0,0,27,0.44,-0.67,0,0,0,1,0,0,0,0,0,0,1,0,2,7.52,5.44
NORPINAL,154.21,APINENE,1,9,14,0,2,0,0,0,25,0.22,-1.11,0,0,1,1,0,0,0,0,0,0,0,0,2,6.89,6.05
NC61CO3H,249.13,APINENE,3,7,7,1,9,0,0,0,24,1.29,0.86,0,0,1,2,0,0,0,0,1,0,1,0,5,8.14,5.22
APINBCO,168.23,APINENE,1,10,16,0,2,0,0,0,28,0.2,-1.2,0,1,0,1,0,0,0,0,0,0,0,0,2,6.95,5.45
C107OOH,200.23,APINENE,1,10,16,0,4,0,0,0,30,0.4,-0.8,0,0,1,1,0,0,0,0,0,0,0,1,3,9.67,8.89
NAPINAOOH,231.25,APINENE,1,10,17,1,5,0,0,0,33,0.5,-1.2,0,0,0,0,0,0,0,0,1,0,0,1,2,8.3,4.71
PERPINONIC,200.23,APINENE,2,10,16,0,4,0,0,0,30,0.4,-0.8,0,0,0,1,0,0,0,0,0,0,1,0,2,8.43,6.1
C108OH,200.23,APINENE,1,10,16,0,4,0,0,0,30,0.4,-0.8,0,1,1,2,0,0,0,0,0,0,0,0,4,8.83,8.12
APINBNO3,215.25,APINENE,1,10,17,1,4,0,0,0,32,0.4,-1.4,0,1,0,0,0,0,0,0,1,0,0,0,2,7.26,3.84
APINAOOH,186.25,APINENE,1,10,18,0,3,0,0,0,31,0.3,-1.2,0,1,0,0,0,0,0,0,0,0,0,1,2,8.33,7.48
PINONIC,184.23,APINENE,1,10,16,0,3,0,0,0,29,0.3,-1,0,0,0,1,1,0,0,0,0,0,0,0,2,9.49,9.17
C85OOH,158.19,APINENE,2,8,14,0,3,0,0,0,25,0.38,-1,0,0,0,1,0,0,0,0,0,0,0,1,2,7.99,7.4
NC72OOH,233.13,APINENE,3,7,7,1,8,0,0,0,23,1.14,0.57,0,0,0,3,0,0,0,0,1,0,0,1,5,11.43,9.14
C106NO3,245.23,APINENE,2,10,15,1,6,0,0,0,32,0.6,-0.8,0,0,1,2,0,0,0,0,1,0,0,0,4,9,6.07
PINALNO3,229.23,APINENE,2,10,15,1,5,0,0,0,31,0.5,-1,0,0,1,1,0,0,0,0,1,0,0,0,3,8.47,5.96
APINENE,136.23,APINENE,0,10,16,0,0,0,0,0,26,0,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0.13
C96OH,156.22,APINENE,1,9,16,0,2,0,0,0,27,0.22,-1.33,0,1,0,1,0,0,0,0,0,0,0,0,2,7.67,7.56
C920PAN,261.23,APINENE,1,10,15,1,7,0,0,0,33,0.7,-0.6,0,1,0,1,0,0,0,0,0,1,0,0,3,9.44,5.66
C109CO,182.22,APINENE,1,10,14,0,3,0,0,0,27,0.3,-0.8,0,0,2,1,0,0,0,0,0,0,0,0,3,7.28,5.33
C921OOH,204.22,APINENE,1,9,16,0,5,0,0,0,30,0.56,-0.67,0,2,0,1,0,0,0,0,0,0,0,1,4,11.09,11.23
C10PAN2,245.23,APINENE,2,10,15,1,6,0,0,0,32,0.6,-0.8,0,0,0,1,0,0,0,0,0,1,0,0,2,8.14,4.05
NC102OOH,261.23,APINENE,2,10,15,1,7,0,0,0,33,0.7,-0.6,0,0,0,2,0,0,0,0,1,0,0,1,4,10.35,7.99
HOPINONIC,200.23,APINENE,1,10,16,0,4,0,0,0,30,0.4,-0.8,0,1,0,1,1,0,0,0,0,0,0,0,3,10.51,10.39
APINBOH,170.25,APINENE,1,10,18,0,2,0,0,0,30,0.2,-1.4,0,2,0,0,0,0,0,0,0,0,0,0,2,7.76,7.19
C717OH,158.15,APINENE,1,7,10,0,4,0,0,0,21,0.57,-0.29,0,1,1,2,0,0,0,0,0,0,0,0,4,7.36,6.7
C920OOH,188.22,APINENE,1,9,16,0,4,0,0,0,29,0.44,-0.89,0,1,0,1,0,0,0,0,0,0,0,1,3,9.57,9.22
C107OH,184.23,APINENE,1,10,16,0,3,0,0,0,29,0.3,-1,0,1,1,1,0,0,0,0,0,0,0,0,3,7.93,7.17
APINCNO3,215.25,APINENE,1,10,17,1,4,0,0,0,32,0.4,-1.4,0,1,0,0,0,0,0,0,1,0,0,0,2,8.18,5.06
C98OOH,204.22,APINENE,1,9,16,0,5,0,0,0,30,0.56,-0.67,0,1,0,2,0,0,0,0,0,0,0,1,4,9.04,8.41
APINCOH,170.25,APINENE,1,10,18,0,2,0,0,0,30,0.2,-1.4,0,2,0,0,0,0,0,0,0,0,0,0,2,8.48,7.86
NC101OOH,245.23,APINENE,2,10,15,1,6,0,0,0,32,0.6,-0.8,0,0,0,1,0,0,0,0,1,0,0,1,3,9.71,7.14
HC23C4CO3H,162.1,APINENE,2,5,6,0,6,0,0,0,17,1.2,1.2,0,1,0,2,0,0,0,0,0,0,1,0,4,7.58,6.69
C717NO3,203.15,APINENE,1,7,9,1,6,0,0,0,23,0.86,-0.29,0,0,1,2,0,0,0,0,1,0,0,0,4,7.8,4.72
PINALOH,184.23,APINENE,2,10,16,0,3,0,0,0,29,0.3,-1,0,1,1,1,0,0,0,0,0,0,0,0,3,7.78,7.23
C109OH,184.23,APINENE,1,10,16,0,3,0,0,0,29,0.3,-1,0,1,1,1,0,0,0,0,0,0,0,0,3,8.52,7.74
C98OH,188.22,APINENE,1,9,16,0,4,0,0,0,29,0.44,-0.89,0,2,0,2,0,0,0,0,0,0,0,0,4,8.16,8
C614OH,146.14,APINENE,1,6,10,0,4,0,0,0,20,0.67,-0.33,0,2,0,2,0,0,0,0,0,0,0,0,4,7.09,7.33
C86OOH,174.19,APINENE,2,8,14,0,4,0,0,0,26,0.5,-0.75,0,0,1,1,0,0,0,0,0,0,0,1,3,7.55,6.86
C106OOH,216.23,APINENE,2,10,16,0,5,0,0,0,31,0.5,-0.6,0,0,1,2,0,0,0,0,0,0,0,1,4,9.61,8.64
H1C23C4OOH,134.09,APINENE,2,4,6,0,5,0,0,0,15,1.25,1,0,1,0,2,0,0,0,0,0,0,0,1,4,6.97,6.95
NC101CO,213.23,APINENE,1,10,15,1,4,0,0,0,30,0.4,-1.2,0,0,0,1,0,0,0,0,1,0,0,0,2,6.96,3
C109OOH,200.23,APINENE,1,10,16,0,4,0,0,0,30,0.4,-0.8,0,0,1,1,0,0,0,0,0,0,0,1,3,9.52,8.13
C97OH,172.22,APINENE,1,9,16,0,3,0,0,0,28,0.33,-1.11,0,2,0,1,0,0,0,0,0,0,0,0,3,8.5,8.28
PINALOOH,200.23,APINENE,2,10,16,0,4,0,0,0,30,0.4,-0.8,0,0,1,1,0,0,0,0,0,0,0,1,3,8.56,8.12
C98NO3,233.22,APINENE,1,9,15,1,6,0,0,0,31,0.67,-0.89,0,1,0,2,0,0,0,0,1,0,0,0,4,9.04,6.63
C108NO3,245.23,APINENE,1,10,15,1,6,0,0,0,32,0.6,-0.8,0,0,1,2,0,0,0,0,1,0,0,0,4,8.51,5.2
